gene_symbol,sex_analysis_recommendation,male_sufficient,female_sufficient,max_male_mice,max_female_mice
Dmxl2,Male-only analysis recommended,True,False,5.0,1.0
Zdhhc22,Both male and female analysis recommended,True,True,4.0,4.0
Gjd4,Both male and female analysis recommended,True,True,4.0,4.0
Fam53a,Both male and female analysis recommended,True,True,8.0,8.0
Wdr45,Insufficient data for sex-specific analysis,True,True,4.0,4.0
Lrrc49,Both male and female analysis recommended,True,True,4.0,4.0
Ppp4r3b,Both male and female analysis recommended,True,True,4.0,4.0
Casp8,Both male and female analysis recommended,True,True,8.0,8.0
Zfyve1,Both male and female analysis recommended,True,True,4.0,4.0
Stat1,Both male and female analysis recommended,True,True,8.0,8.0
Cactin,Both male and female analysis recommended,True,True,8.0,7.0
Lactb,Both male and female analysis recommended,True,True,5.0,7.0
Rlbp1,Insufficient data for sex-specific analysis,False,False,2.0,1.0
Ptp4a2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Lamp5,Both male and female analysis recommended,True,True,4.0,4.0
Adgrf3,Both male and female analysis recommended,True,True,4.0,4.0
Nfkbil1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Togaram1,Both male and female analysis recommended,True,True,4.0,4.0
Bud13,Both male and female analysis recommended,True,True,8.0,8.0
Zc3h12d,Both male and female analysis recommended,True,True,3.0,3.0
Vwa5a,Both male and female analysis recommended,True,True,4.0,4.0
Padi6,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prss40,Both male and female analysis recommended,True,True,4.0,4.0
Lins1,Both male and female analysis recommended,True,True,4.0,4.0
Frmd7,Male-only analysis recommended,True,False,4.0,0.0
Top2a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Pgap2,Male-only analysis recommended,True,False,4.0,0.0
Tmcc3,Both male and female analysis recommended,True,True,4.0,3.0
1700030J22Rik,Both male and female analysis recommended,True,True,4.0,4.0
Ppy,Both male and female analysis recommended,True,True,4.0,4.0
Bbox1,Both male and female analysis recommended,True,True,4.0,4.0
Srd5a2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Scara3,Both male and female analysis recommended,True,True,4.0,4.0
Ppil3,Male-only analysis recommended,True,False,7.0,0.0
Tmem63b,Both male and female analysis recommended,True,True,9.0,7.0
Strn4,Both male and female analysis recommended,True,True,4.0,4.0
Lrrc17,Both male and female analysis recommended,True,True,8.0,8.0
Rbbp8nl,Both male and female analysis recommended,True,True,4.0,4.0
Adrb3,Both male and female analysis recommended,True,True,4.0,4.0
Mybbp1a,Female-only analysis recommended,False,True,2.0,4.0
Cnih2,Both male and female analysis recommended,True,True,4.0,4.0
Gja8,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cysltr1,Insufficient data for sex-specific analysis,False,False,,
Adgrd1,Female-only analysis recommended,False,True,1.0,3.0
Dusp18,Both male and female analysis recommended,True,True,4.0,3.0
4930558K02Rik,Both male and female analysis recommended,True,True,3.0,4.0
Fam72a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Abce1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Larp7,Both male and female analysis recommended,True,True,5.0,5.0
Zer1,Both male and female analysis recommended,True,True,4.0,4.0
Specc1l,Both male and female analysis recommended,True,True,4.0,4.0
Zbtb24,Both male and female analysis recommended,True,True,4.0,4.0
Slc12a5,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prss55,Both male and female analysis recommended,True,True,8.0,7.0
Lpp,Both male and female analysis recommended,True,True,4.0,4.0
Nrcam,Both male and female analysis recommended,True,True,4.0,4.0
Mtmr2,Both male and female analysis recommended,True,True,4.0,4.0
Slitrk5,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Arg2,Both male and female analysis recommended,True,True,8.0,8.0
Acyp1,Both male and female analysis recommended,True,True,4.0,4.0
Efna5,Both male and female analysis recommended,True,True,4.0,4.0
Pygo2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Faxc,Both male and female analysis recommended,True,True,4.0,4.0
Aptx,Both male and female analysis recommended,True,True,4.0,4.0
Egr1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cacna1s,Both male and female analysis recommended,True,True,4.0,5.0
Alkbh6,Both male and female analysis recommended,True,True,4.0,4.0
Fam219a,Both male and female analysis recommended,True,True,7.0,8.0
Cdc27,Both male and female analysis recommended,True,True,3.0,8.0
Neil2,Both male and female analysis recommended,True,True,4.0,4.0
Amelx,Insufficient data for sex-specific analysis,True,True,7.0,11.0
Cndp2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ccdc146,Both male and female analysis recommended,True,True,4.0,4.0
Dnajb3,Both male and female analysis recommended,True,True,3.0,4.0
Tmem88,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Med20,Both male and female analysis recommended,True,True,4.0,4.0
Art4,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dapk1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Atp10a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Garin1a,Both male and female analysis recommended,True,True,9.0,8.0
Rln1,Male-only analysis recommended,True,False,4.0,0.0
Gdf10,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Sec13,Both male and female analysis recommended,True,True,4.0,4.0
Wwp1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Poln,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Lrrc23,Female-only analysis recommended,False,True,1.0,5.0
Dap3,Both male and female analysis recommended,True,True,4.0,4.0
Setd5,Male-only analysis recommended,True,False,7.0,2.0
Rnf10,Both male and female analysis recommended,True,True,7.0,7.0
Zfp119a,Insufficient data for sex-specific analysis,False,False,,
Hmgn1,Both male and female analysis recommended,True,True,8.0,8.0
Alox5,Both male and female analysis recommended,True,True,8.0,8.0
Rnf125,Male-only analysis recommended,True,False,3.0,1.0
Tusc3,Both male and female analysis recommended,True,True,4.0,4.0
Rnasek,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Atp6v0a4,Male-only analysis recommended,True,False,4.0,0.0
Yae1d1,Both male and female analysis recommended,True,True,4.0,4.0
Glycam1,Both male and female analysis recommended,True,True,6.0,5.0
Il3ra,Both male and female analysis recommended,True,True,4.0,4.0
Masp1,Male-only analysis recommended,True,False,3.0,2.0
Zbtb4,Both male and female analysis recommended,True,True,3.0,5.0
Epb41l1,Both male and female analysis recommended,True,True,4.0,4.0
Klk12,Both male and female analysis recommended,True,True,9.0,8.0
Stk16,Both male and female analysis recommended,True,True,4.0,4.0
Prl7d1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Rnf5,Both male and female analysis recommended,True,True,8.0,8.0
Ankrd13d,Male-only analysis recommended,True,False,5.0,0.0
Krtap7-1,Both male and female analysis recommended,True,True,8.0,8.0
Areg,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Gpr153,Both male and female analysis recommended,True,True,4.0,4.0
Marco,Female-only analysis recommended,False,True,4.0,4.0
Ecm1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Gsdmd,Both male and female analysis recommended,True,True,3.0,3.0
Ccl28,Both male and female analysis recommended,True,True,7.0,8.0
Idua,Insufficient data for sex-specific analysis,False,False,4.0,4.0
Mmaa,Female-only analysis recommended,False,True,2.0,4.0
Fam81a,Both male and female analysis recommended,True,True,8.0,8.0
1810055G02Rik,Both male and female analysis recommended,True,True,4.0,4.0
Arrb2,Both male and female analysis recommended,True,True,4.0,4.0
Spice1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Hcrt,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cpm,Both male and female analysis recommended,True,True,8.0,8.0
Tmem170b,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Tmie,Both male and female analysis recommended,True,True,4.0,4.0
Dct,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cystm1,Both male and female analysis recommended,True,True,4.0,4.0
Nav1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Fbxl19,Female-only analysis recommended,False,True,2.0,3.0
Snx3,Both male and female analysis recommended,True,True,4.0,4.0
Garin2,Both male and female analysis recommended,True,True,8.0,7.0
Tgm6,Female-only analysis recommended,False,True,0.0,5.0
Ccdc28a,Both male and female analysis recommended,True,True,5.0,3.0
Clock,Both male and female analysis recommended,True,True,8.0,7.0
Zfp750,Both male and female analysis recommended,True,True,4.0,4.0
Bcl2l15,Both male and female analysis recommended,True,True,4.0,4.0
Cep170b,Both male and female analysis recommended,True,True,4.0,4.0
Slc20a2,Both male and female analysis recommended,True,True,4.0,5.0
Mrpl47,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Scel,Both male and female analysis recommended,True,True,7.0,8.0
Dop1a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ifng,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Trim16,Female-only analysis recommended,False,True,2.0,3.0
Rbm22,Both male and female analysis recommended,True,True,4.0,4.0
Zcrb1,Both male and female analysis recommended,True,True,6.0,8.0
Slfn1,Both male and female analysis recommended,True,True,4.0,4.0
Klhl34,Insufficient data for sex-specific analysis,True,True,4.0,4.0
Taok1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Thop1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Mindy3,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ten1,Both male and female analysis recommended,True,True,4.0,9.0
Upf3b,Insufficient data for sex-specific analysis,False,False,,
Mettl16,Both male and female analysis recommended,True,True,4.0,6.0
Irf5,Male-only analysis recommended,True,False,4.0,1.0
Atf2,Both male and female analysis recommended,True,True,14.0,12.0
Ube2u,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Aim2,Both male and female analysis recommended,True,True,8.0,8.0
Gzmk,Both male and female analysis recommended,True,True,6.0,8.0
Lamtor4,Both male and female analysis recommended,True,True,8.0,8.0
Mapkbp1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Sbspon,Both male and female analysis recommended,True,True,8.0,8.0
Lysmd4,Both male and female analysis recommended,True,True,3.0,4.0
Pcsk1n,Insufficient data for sex-specific analysis,False,False,,
Il1a,Both male and female analysis recommended,True,True,4.0,4.0
Ces1f,Both male and female analysis recommended,True,True,5.0,5.0
Adcy9,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Trpm6,Both male and female analysis recommended,True,True,3.0,3.0
Dennd2c,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Svep1,Both male and female analysis recommended,True,True,4.0,4.0
Chchd2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Katnal1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Tex38,Male-only analysis recommended,True,False,4.0,0.0
Tmem131,Both male and female analysis recommended,True,True,4.0,4.0
Reps2,Insufficient data for sex-specific analysis,True,True,4.0,4.0
Cep250,Male-only analysis recommended,True,False,5.0,2.0
Enpp5,Both male and female analysis recommended,True,True,4.0,4.0
Gmds,Male-only analysis recommended,True,False,6.0,1.0
Zfp113,Both male and female analysis recommended,True,True,4.0,4.0
Rrs1,Both male and female analysis recommended,True,True,3.0,4.0
Kif28,Both male and female analysis recommended,True,True,4.0,4.0
Hspb2,Both male and female analysis recommended,True,True,4.0,4.0
Mark4,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Zfp821,Both male and female analysis recommended,True,True,4.0,4.0
Ypel2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Eepd1,Both male and female analysis recommended,True,True,4.0,4.0
Cdk17,Both male and female analysis recommended,True,True,4.0,4.0
Bola2,Both male and female analysis recommended,True,True,3.0,3.0
Barx2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ifnar1,Both male and female analysis recommended,True,True,4.0,4.0
Cdk2ap2,Both male and female analysis recommended,True,True,4.0,4.0
Klf9,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Kprp,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Rtn4rl2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Usp21,Female-only analysis recommended,False,True,0.0,4.0
Szrd1,Both male and female analysis recommended,True,True,4.0,3.0
Atp5mk,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Stx17,Both male and female analysis recommended,True,True,4.0,4.0
Anks6,Female-only analysis recommended,False,True,1.0,3.0
Atp5pb,Male-only analysis recommended,True,False,4.0,0.0
Tti1,Both male and female analysis recommended,True,True,3.0,4.0
Nubp2,Both male and female analysis recommended,True,True,4.0,4.0
Ube2o,Both male and female analysis recommended,True,True,4.0,4.0
Gm5148,Both male and female analysis recommended,True,True,8.0,5.0
Nmrk1,Male-only analysis recommended,True,False,4.0,0.0
Ace,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prss2,Both male and female analysis recommended,True,True,3.0,4.0
Wnk2,Both male and female analysis recommended,True,True,4.0,4.0
Pfkfb4,Male-only analysis recommended,True,False,4.0,2.0
Bst2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Plcb1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ik,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cdkn2aipnl,Male-only analysis recommended,True,False,3.0,1.0
D7Ertd443e,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Zgrf1,Both male and female analysis recommended,True,True,4.0,4.0
Vegfb,Both male and female analysis recommended,True,True,4.0,4.0
Msx1,Both male and female analysis recommended,True,True,4.0,4.0
Wdr17,Both male and female analysis recommended,True,True,4.0,4.0
Slc9a5,Both male and female analysis recommended,True,True,4.0,4.0
Aldh1a3,Both male and female analysis recommended,True,True,4.0,4.0
Tedc1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Lrrc15,Both male and female analysis recommended,True,True,4.0,4.0
Csf2rb,Both male and female analysis recommended,True,True,9.0,7.0
Ints7,Both male and female analysis recommended,True,True,4.0,4.0
Pdf,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Or1e32,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Usp25,Both male and female analysis recommended,True,True,8.0,6.0
Blcap,Both male and female analysis recommended,True,True,3.0,3.0
Pgm1,Both male and female analysis recommended,True,True,3.0,4.0
Mtch2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Arhgap20,Male-only analysis recommended,True,False,4.0,2.0
Trpc5,Insufficient data for sex-specific analysis,False,False,,
Ngrn,Female-only analysis recommended,False,True,0.0,4.0
Ptpn5,Both male and female analysis recommended,True,True,4.0,3.0
Hs3st5,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Asxl2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Morn5,Both male and female analysis recommended,True,True,3.0,4.0
Slx9,Both male and female analysis recommended,True,True,8.0,6.0
Kcng1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Fam81b,Both male and female analysis recommended,True,True,4.0,4.0
Chst5,Both male and female analysis recommended,True,True,5.0,4.0
Nhlh1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ablim2,Both male and female analysis recommended,True,True,4.0,4.0
Pramel1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Efcab7,Both male and female analysis recommended,True,True,4.0,4.0
Smim6,Male-only analysis recommended,True,False,4.0,4.0
Blvrb,Both male and female analysis recommended,True,True,4.0,4.0
Myorg,Both male and female analysis recommended,True,True,4.0,4.0
Slc25a12,Both male and female analysis recommended,True,True,4.0,4.0
Htr3b,Both male and female analysis recommended,True,True,5.0,3.0
Tars2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Btbd3,Both male and female analysis recommended,True,True,7.0,8.0
Tmem240,Both male and female analysis recommended,True,True,8.0,7.0
Ropn1l,Both male and female analysis recommended,True,True,4.0,4.0
Pde11a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Tnrc6c,Both male and female analysis recommended,True,True,4.0,4.0
Atp1a1,Both male and female analysis recommended,True,True,7.0,8.0
Atg4b,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Usp37,Male-only analysis recommended,True,False,4.0,2.0
Gnb1l,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Nudt16l1,Both male and female analysis recommended,True,True,4.0,4.0
Syne2,Both male and female analysis recommended,True,True,5.0,4.0
Pgc,Both male and female analysis recommended,True,True,8.0,8.0
Stau2,Male-only analysis recommended,True,False,3.0,2.0
Glrb,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prr5,Both male and female analysis recommended,True,True,4.0,4.0
Pla2g2f,Both male and female analysis recommended,True,True,7.0,8.0
Emsy,Both male and female analysis recommended,True,True,7.0,7.0
Npcd,Both male and female analysis recommended,True,True,4.0,4.0
Mpp1,Both male and female analysis recommended,True,True,8.0,8.0
Heg1,Both male and female analysis recommended,True,True,4.0,4.0
Actr8,Both male and female analysis recommended,True,True,4.0,4.0
Hcls1,Both male and female analysis recommended,True,True,7.0,8.0
Nub1,Female-only analysis recommended,False,True,7.0,7.0
Enox1,Both male and female analysis recommended,True,True,4.0,4.0
Prkab1,Both male and female analysis recommended,True,True,11.0,14.0
Dmap1,Both male and female analysis recommended,True,True,4.0,3.0
Scaper,Both male and female analysis recommended,True,True,7.0,8.0
Ctsk,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Inpp5a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Mfn2,Both male and female analysis recommended,True,True,4.0,4.0
Pgm3,Both male and female analysis recommended,True,True,4.0,4.0
Chst10,Both male and female analysis recommended,True,True,4.0,4.0
Pcca,Both male and female analysis recommended,True,True,4.0,4.0
Tuba3a,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Rergl,Both male and female analysis recommended,True,True,4.0,4.0
Ppm1m,Both male and female analysis recommended,True,True,4.0,4.0
Ncbp2,Both male and female analysis recommended,True,True,4.0,4.0
Myo7b,Both male and female analysis recommended,True,True,4.0,4.0
Sox18,Both male and female analysis recommended,True,True,4.0,4.0
Sike1,Both male and female analysis recommended,True,True,4.0,4.0
Robo4,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cpt2,Female-only analysis recommended,False,True,0.0,4.0
Htra2,Female-only analysis recommended,False,True,2.0,3.0
Ddias,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Shisa7,Both male and female analysis recommended,True,True,4.0,4.0
Suv39h2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Tti2,Both male and female analysis recommended,True,True,10.0,8.0
Med10,Both male and female analysis recommended,True,True,4.0,4.0
Dnah2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dgkh,Both male and female analysis recommended,True,True,4.0,4.0
Itpr3,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Mecom,Both male and female analysis recommended,True,True,4.0,4.0
Bpgm,Male-only analysis recommended,True,False,4.0,0.0
Gfod1,Both male and female analysis recommended,True,True,4.0,4.0
Krt72,Both male and female analysis recommended,True,True,8.0,8.0
Peli3,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Nxn,Both male and female analysis recommended,True,True,8.0,8.0
Ncapd3,Both male and female analysis recommended,True,True,4.0,3.0
Dars2,Female-only analysis recommended,False,True,0.0,4.0
Lpar1,Both male and female analysis recommended,True,True,4.0,4.0
Polr3d,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Stac2,Both male and female analysis recommended,True,True,4.0,4.0
Bag3,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dhx33,Female-only analysis recommended,False,True,0.0,4.0
Creg2,Both male and female analysis recommended,True,True,4.0,4.0
Plxna2,Male-only analysis recommended,True,False,4.0,0.0
Tnfrsf1a,Both male and female analysis recommended,True,True,7.0,8.0
Cisd1,Both male and female analysis recommended,True,True,4.0,4.0
Mogat2,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Slc2a13,Female-only analysis recommended,False,True,1.0,3.0
Klhl30,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Strip2,Both male and female analysis recommended,True,True,7.0,8.0
Psd4,Both male and female analysis recommended,True,True,3.0,4.0
Rskr,Both male and female analysis recommended,True,True,4.0,4.0
Mrm3,Both male and female analysis recommended,True,True,4.0,5.0
Prpf40a,Both male and female analysis recommended,True,True,3.0,4.0
Rtbdn,Male-only analysis recommended,True,False,4.0,0.0
Limch1,Both male and female analysis recommended,True,True,4.0,3.0
Pdcd7,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Steap2,Both male and female analysis recommended,True,True,4.0,4.0
Actl7b,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cfap91,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ptprz1,Both male and female analysis recommended,True,True,8.0,8.0
Rsbn1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Stard10,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Notch1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Cd300lg,Female-only analysis recommended,False,True,0.0,4.0
Dcaf12,Both male and female analysis recommended,True,True,7.0,8.0
Mir143,Female-only analysis recommended,False,True,2.0,4.0
Rusc2,Male-only analysis recommended,True,False,3.0,2.0
Wdr6,Both male and female analysis recommended,True,True,4.0,3.0
Ttll8,Both male and female analysis recommended,True,True,4.0,4.0
Wrnip1,Male-only analysis recommended,True,False,4.0,4.0
Coa6,Both male and female analysis recommended,True,True,8.0,8.0
Cr1l,Both male and female analysis recommended,True,True,4.0,4.0
Dclk1,Female-only analysis recommended,False,True,2.0,4.0
Cacng6,Both male and female analysis recommended,True,True,4.0,4.0
Trmt1,Both male and female analysis recommended,True,True,11.0,9.0
Mir145a,Both male and female analysis recommended,True,True,3.0,3.0
Zc2hc1a,Both male and female analysis recommended,True,True,8.0,7.0
Ccdc107,Both male and female analysis recommended,True,True,4.0,4.0
Chchd5,Both male and female analysis recommended,True,True,3.0,3.0
Acp6,Both male and female analysis recommended,True,True,4.0,4.0
Pepd,Both male and female analysis recommended,True,True,5.0,4.0
Med12l,Both male and female analysis recommended,True,True,4.0,4.0
Ecrg4,Both male and female analysis recommended,True,True,8.0,8.0
Ddx1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dcaf11,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Dcbld2,Female-only analysis recommended,False,True,0.0,4.0
Cops7a,Insufficient data for sex-specific analysis,False,False,1.0,2.0
Ubiad1,Both male and female analysis recommended,True,True,4.0,4.0
Arsj,Both male and female analysis recommended,True,True,4.0,4.0
Trim65,Male-only analysis recommended,True,False,4.0,0.0
Llcfc1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Prkch,Both male and female analysis recommended,True,True,4.0,4.0
Elapor1,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ric8a,Both male and female analysis recommended,True,True,4.0,3.0
Ankrd45,Both male and female analysis recommended,True,True,4.0,3.0
Mak16,Both male and female analysis recommended,True,True,4.0,4.0
Zfp36,Both male and female analysis recommended,True,True,3.0,3.0
Klk5,Both male and female analysis recommended,True,True,4.0,4.0
Rpa1,Both male and female analysis recommended,True,True,3.0,4.0
Pah,Insufficient data for sex-specific analysis,False,False,2.0,2.0
Ap2b1,Both male and female analysis recommended,True,True,4.0,4.0
Mov10,Insufficient data for sex-specific analysis,False,False,2.0,2.0
