gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked
Iqub,Iqub<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0074297947361793,0.125,0.0,0.335,4.0,569.0,Iqub_Iqub<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,20.006,19.989,19.98,19.991,19.996,,,,,,,,,,,,,,,,,,,,,,,,
Bysl,Bysl<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,0.0109945659042082,0.181,0.011,0.384,7.0,2953.0,Bysl_Bysl<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,12.102,9.707,31.333,26.627,21.197,0.0148420652036026,0.142,0.0,0.374,3.0,1480.0,Bysl_Bysl<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,20.034,19.999,19.933,19.992,20.0,0.0698047606311848,0.252,0.018,0.516,4.0,1473.0,Bysl_Bysl<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,11.72,9.517,31.985,26.243,20.997
6820408C15Rik,6820408C15Rik<em1(IMPC)Mbp>,homozygote,UC Davis,0.019108280254777,0.152,0.0,0.388,4.0,569.0,6820408C15Rik_6820408C15Rik<em1(IMPC)Mbp>_homozygote_UC Davis,18.541,18.789,18.887,19.609,21.131,,,,,,,,,,,,,,,,,,,,,,,,
Prss12,Prss12<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.8943878759175942,0.49,0.215,0.78,7.0,2953.0,Prss12_Prss12<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,4.873,2.772,7.91,31.209,24.705,1.9651593773165308,0.569,0.274,0.855,5.0,1480.0,Prss12_Prss12<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,5.193,3.058,8.747,32.581,25.152,,,,,,,,,,,,
Kbtbd11,Kbtbd11<em1(IMPC)Wtsi>,homozygote,CCP-IMG,0.0,0.052,0.0,0.145,15.0,2953.0,Kbtbd11_Kbtbd11<em1(IMPC)Wtsi>_homozygote_CCP-IMG,20.006,20.028,19.965,20.029,19.982,0.0011262670504317,0.095,0.0,0.256,7.0,1480.0,Kbtbd11_Kbtbd11<em1(IMPC)Wtsi>_homozygote_CCP-IMG_male,19.725,19.708,19.726,20.157,20.102,0.0007505629221916,0.084,0.0,0.226,8.0,1473.0,Kbtbd11_Kbtbd11<em1(IMPC)Wtsi>_homozygote_CCP-IMG_female,20.001,20.012,19.999,19.98,20.023
Mief1,Mief1<em1(IMPC)Mbp>,homozygote,UC Davis,0.0083186286866649,0.127,0.0,0.33,4.0,569.0,Mief1_Mief1<em1(IMPC)Mbp>_homozygote_UC Davis,20.006,19.94,20.04,20.006,19.988,,,,,,,,,,,,,,,,,,,,,,,,
Rasgrf1,Rasgrf1<tm1bNarl>,homozygote,MRC Harwell,0.3750429700928154,0.385,0.063,0.706,5.0,323.0,Rasgrf1_Rasgrf1<tm1bNarl>_homozygote_MRC Harwell,20.85,20.965,18.947,18.904,18.278,0.3322231473771856,0.365,0.04,0.718,3.0,157.0,Rasgrf1_Rasgrf1<tm1bNarl>_homozygote_MRC Harwell_male,20.257,20.888,21.014,19.028,19.878,,,,,,,,,,,,
Htr1d,Htr1d<tm1.1(KOMP)Vlcg>,homozygote,JAX,0.0003751406777541,0.083,0.0,0.222,8.0,2541.0,Htr1d_Htr1d<tm1.1(KOMP)Vlcg>_homozygote_JAX,20.006,19.915,19.941,19.955,19.98,0.0081915563957151,0.124,0.0,0.332,4.0,1264.0,Htr1d_Htr1d<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,20.024,19.998,20.009,19.901,19.932,0.0071761299257207,0.124,0.0,0.326,4.0,1277.0,Htr1d_Htr1d<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,20.035,19.981,19.972,19.953,19.97
Ifngr1,Ifngr1<em1(IMPC)Mbp>,homozygote,UC Davis,0.0161310809094373,0.141,0.0,0.369,4.0,569.0,Ifngr1_Ifngr1<em1(IMPC)Mbp>_homozygote_UC Davis,19.6,19.893,19.492,19.231,20.126,,,,,,,,,,,,,0.0143273741600101,0.135,0.0,0.36,4.0,288.0,Ifngr1_Ifngr1<em1(IMPC)Mbp>_homozygote_UC Davis_female,19.674,19.979,19.691,19.444,20.029
Fam53b,Fam53b<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,0.0008757662955085,0.084,0.0,0.235,8.0,755.0,Fam53b_Fam53b<tm1b(EUCOMM)Hmgu>_homozygote_HMGU,19.998,20.115,19.976,20.028,19.981,0.006669183339625,0.124,0.0,0.33,4.0,392.0,Fam53b_Fam53b<tm1b(EUCOMM)Hmgu>_homozygote_HMGU_male,19.949,19.999,20.009,19.947,20.048,0.0078105316200554,0.124,0.0,0.327,4.0,363.0,Fam53b_Fam53b<tm1b(EUCOMM)Hmgu>_homozygote_HMGU_female,19.949,19.966,19.928,19.998,19.95
Prss35,Prss35<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0,0.053,0.0,0.146,15.0,2953.0,Prss35_Prss35<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,20.02,19.959,19.99,19.951,19.964,0.0002500625156289,0.083,0.0,0.223,8.0,1480.0,Prss35_Prss35<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,20.018,20.084,19.952,19.997,19.979,0.0007505629221916,0.091,0.0,0.244,7.0,1473.0,Prss35_Prss35<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,20.033,19.974,20.028,19.981,20.044
Plcb4,Plcb4<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,3.4077134986225897,0.625,0.332,0.915,4.0,569.0,Plcb4_Plcb4<tm1b(EUCOMM)Wtsi>_homozygote_UC Davis,10.219,11.588,11.518,20.832,32.446,,,,,,,,,,,,,,,,,,,,,,,,
Ctdsp1,Ctdsp1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,0.0112501580078371,0.131,0.0,0.346,4.0,858.0,Ctdsp1_Ctdsp1<tm1b(EUCOMM)Wtsi>_homozygote_MRC Harwell,19.951,19.938,19.893,19.827,19.972,,,,,,,,,,,,,,,,,,,,,,,,
Ocstamp,Ocstamp<tm2b(KOMP)Wtsi>,homozygote,JAX,0.0,0.076,0.0,0.209,9.0,2541.0,Ocstamp_Ocstamp<tm2b(KOMP)Wtsi>_homozygote_JAX,19.975,19.974,19.985,19.997,19.947,0.0038900740368929,0.11,0.0,0.296,5.0,1264.0,Ocstamp_Ocstamp<tm2b(KOMP)Wtsi>_homozygote_JAX_male,19.924,20.017,20.034,20.002,20.056,0.0078105316200554,0.123,0.0,0.329,4.0,1277.0,Ocstamp_Ocstamp<tm2b(KOMP)Wtsi>_homozygote_JAX_female,19.987,19.956,19.995,19.96,19.951
Castor1,Castor1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0076835873535709,0.125,0.0,0.33,4.0,569.0,Castor1_Castor1<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,20.063,20.057,20.011,19.952,20.001,,,,,,,,,,,,,,,,,,,,,,,,
Trim13,Trim13<em1(IMPC)Tcp>,homozygote,TCP,0.0074297947361793,0.126,0.0,0.34,4.0,588.0,Trim13_Trim13<em1(IMPC)Tcp>_homozygote_TCP,19.996,19.884,20.011,20.005,20.048,,,,,,,,,,,,,,,,,,,,,,,,
Hormad2,Hormad2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.637331150225133,0.466,0.245,0.696,14.0,2953.0,Hormad2_Hormad2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,14.915,10.967,13.358,13.596,17.847,0.1482704176833644,0.339,0.096,0.593,8.0,1480.0,Hormad2_Hormad2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,16.857,12.836,17.603,14.378,19.17,0.9347037484885128,0.494,0.21,0.78,6.0,1473.0,Hormad2_Hormad2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,15.179,12.816,11.901,16.425,18.337
Morc3,Morc3<tm1b(EUCOMM)Hmgu>,heterozygote,ICS,0.0964912280701754,0.285,0.047,0.556,11.0,1512.0,Morc3_Morc3<tm1b(EUCOMM)Hmgu>_heterozygote_ICS,15.412,15.629,13.394,20.777,20.829,0.6673614005835765,0.453,0.131,0.788,3.0,767.0,Morc3_Morc3<tm1b(EUCOMM)Hmgu>_heterozygote_ICS_male,17.177,19.431,14.682,20.746,20.981,0.0008757662955085,0.094,0.0,0.252,8.0,745.0,Morc3_Morc3<tm1b(EUCOMM)Hmgu>_heterozygote_ICS_female,19.618,19.04,19.597,20.109,20.054
Phactr3,Phactr3<em1(IMPC)Hmgu>,homozygote,HMGU,0.0017530678687703,0.096,0.0,0.258,7.0,1804.0,Phactr3_Phactr3<em1(IMPC)Hmgu>_homozygote_HMGU,19.961,19.805,19.782,19.767,19.854,0.0296010296010296,0.163,0.0,0.421,3.0,920.0,Phactr3_Phactr3<em1(IMPC)Hmgu>_homozygote_HMGU_male,19.81,19.365,19.351,19.501,19.755,0.0083186286866649,0.127,0.0,0.346,4.0,884.0,Phactr3_Phactr3<em1(IMPC)Hmgu>_homozygote_HMGU_female,20.082,19.952,19.997,20.014,19.966
Cd209c,Cd209c<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0001250156269533,0.111,0.0,0.24,14.0,2953.0,Cd209c_Cd209c<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,17.615,20.076,14.992,19.132,20.8,0.0007505629221916,0.091,0.0,0.243,7.0,1480.0,Cd209c_Cd209c<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,19.983,19.964,19.944,19.993,19.949,0.0112501580078371,0.184,0.008,0.39,7.0,1473.0,Cd209c_Cd209c<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,17.518,20.221,14.663,18.974,20.536
Fbxw18,Fbxw18<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,0.0,0.039,0.0,0.109,22.0,2953.0,Fbxw18_Fbxw18<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,19.915,20.003,19.965,19.988,19.975,0.0003751406777541,0.085,0.0,0.232,8.0,1480.0,Fbxw18_Fbxw18<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,19.924,19.921,19.907,19.982,19.947,0.0,0.056,0.0,0.154,14.0,1473.0,Fbxw18_Fbxw18<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,19.973,20.014,19.962,20.071,20.01
Rrp8,Rrp8<tm1.1(KOMP)Vlcg>,heterozygote,JAX,0.0005002501250625,0.083,0.0,0.225,8.0,2541.0,Rrp8_Rrp8<tm1.1(KOMP)Vlcg>_heterozygote_JAX,20.034,20.065,19.936,19.973,19.958,0.0071761299257207,0.125,0.0,0.332,4.0,1264.0,Rrp8_Rrp8<tm1.1(KOMP)Vlcg>_heterozygote_JAX_male,19.986,19.974,20.009,19.967,20.001,0.0095911155981827,0.126,0.0,0.339,4.0,1277.0,Rrp8_Rrp8<tm1.1(KOMP)Vlcg>_heterozygote_JAX_female,20.013,19.965,20.033,19.927,19.994
Klkb1,Klkb1<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,0.0005002501250625,0.084,0.0,0.23,8.0,755.0,Klkb1_Klkb1<tm1b(EUCOMM)Wtsi>_homozygote_HMGU,19.973,20.015,20.02,20.027,19.977,0.008827238335435,0.125,0.0,0.336,4.0,392.0,Klkb1_Klkb1<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_male,20.05,20.029,20.055,19.999,19.969,0.0106114199090449,0.125,0.0,0.336,4.0,363.0,Klkb1_Klkb1<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_female,20.026,19.989,20.022,19.971,19.967
Stk38,Stk38<tm1b(KOMP)Wtsi>,heterozygote,JAX,0.0007505629221916,0.084,0.0,0.228,8.0,2541.0,Stk38_Stk38<tm1b(KOMP)Wtsi>_heterozygote_JAX,19.999,20.048,19.935,19.98,19.988,0.0081915563957151,0.124,0.0,0.333,4.0,1264.0,Stk38_Stk38<tm1b(KOMP)Wtsi>_heterozygote_JAX_male,19.985,20.046,19.968,19.987,20.023,0.0062893081761006,0.124,0.0,0.328,4.0,1277.0,Stk38_Stk38<tm1b(KOMP)Wtsi>_heterozygote_JAX_female,19.958,20.006,20.007,20.047,20.054
Tex29,Tex29<tm1.1(KOMP)Vlcg>,homozygote,JAX,0.0003751406777541,0.084,0.0,0.227,8.0,2541.0,Tex29_Tex29<tm1.1(KOMP)Vlcg>_homozygote_JAX,20.036,20.042,19.957,19.946,19.982,0.0112501580078371,0.127,0.0,0.336,4.0,1264.0,Tex29_Tex29<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,19.921,20.025,20.067,19.979,20.045,0.0081915563957151,0.124,0.0,0.33,4.0,1277.0,Tex29_Tex29<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,20.015,20.002,19.97,19.956,20.021
Ubash3a,Ubash3a<tm1b(KOMP)Wtsi>,homozygote,HMGU,0.0045203415369161,0.113,0.0,0.306,5.0,755.0,Ubash3a_Ubash3a<tm1b(KOMP)Wtsi>_homozygote_HMGU,20.024,19.987,20.024,20.065,19.996,,,,,,,,,,,,,0.0167768174885612,0.144,0.0,0.373,3.0,363.0,Ubash3a_Ubash3a<tm1b(KOMP)Wtsi>_homozygote_HMGU_female,20.016,19.96,19.92,20.039,19.989
Ubash3a,Ubash3a<tm1a(KOMP)Wtsi>,homozygote,WTSI,0.0065425264217413,0.124,0.0,0.329,4.0,904.0,Ubash3a_Ubash3a<tm1a(KOMP)Wtsi>_homozygote_WTSI,20.048,20.074,20.003,20.075,20.025,,,,,,,,,,,,,0.0056568196103079,0.123,0.0,0.321,4.0,451.0,Ubash3a_Ubash3a<tm1a(KOMP)Wtsi>_homozygote_WTSI_female,20.036,19.992,19.969,20.031,19.983
Apoc4,Apoc4<tm1.1(KOMP)Mbp>,homozygote,HMGU,0.0008757662955085,0.091,0.0,0.252,7.0,755.0,Apoc4_Apoc4<tm1.1(KOMP)Mbp>_homozygote_HMGU,20.052,19.971,20.084,19.98,19.924,0.0059097196026656,0.123,0.0,0.324,4.0,392.0,Apoc4_Apoc4<tm1.1(KOMP)Mbp>_homozygote_HMGU_male,19.982,20.065,20.06,20.02,19.97,0.0175527855507504,0.142,0.0,0.375,3.0,363.0,Apoc4_Apoc4<tm1.1(KOMP)Mbp>_homozygote_HMGU_female,20.102,20.046,19.996,20.034,20.016
Epgn,Epgn<tm1b(KOMP)Wtsi>,homozygote,JAX,0.0321248871113404,0.251,0.043,0.465,8.0,2541.0,Epgn_Epgn<tm1b(KOMP)Wtsi>_homozygote_JAX,13.904,25.106,24.419,21.377,18.961,0.1207621182404034,0.286,0.025,0.571,3.0,1264.0,Epgn_Epgn<tm1b(KOMP)Wtsi>_homozygote_JAX_male,12.681,26.661,25.828,21.451,21.133,0.0334582095336519,0.222,0.011,0.454,5.0,1277.0,Epgn_Epgn<tm1b(KOMP)Wtsi>_homozygote_JAX_female,18.936,19.681,19.847,20.116,17.511
Rspo4,Rspo4<tm1a(KOMP)Wtsi>,homozygote,WTSI,0.0078105316200554,0.126,0.0,0.332,4.0,904.0,Rspo4_Rspo4<tm1a(KOMP)Wtsi>_homozygote_WTSI,20.054,20.003,19.969,20.013,19.947,0.0079375078745117,0.126,0.0,0.331,4.0,453.0,Rspo4_Rspo4<tm1a(KOMP)Wtsi>_homozygote_WTSI_male,20.017,20.0,20.013,19.987,19.936,,,,,,,,,,,,
Tax1bp3,Tax1bp3<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,0.0023806540533767,0.108,0.0,0.286,7.0,755.0,Tax1bp3_Tax1bp3<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU,19.202,19.766,20.354,19.06,19.318,0.0598834128245893,0.196,0.0,0.493,3.0,392.0,Tax1bp3_Tax1bp3<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_male,18.387,19.476,20.67,18.214,18.554,0.0067958721369242,0.125,0.0,0.332,4.0,363.0,Tax1bp3_Tax1bp3<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_female,20.026,19.971,20.025,20.031,19.98
Cst6,Cst6<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,0.0,0.05,0.0,0.138,16.0,2953.0,Cst6_Cst6<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,19.972,19.974,19.955,19.925,19.914,0.0003751406777541,0.084,0.0,0.225,8.0,1480.0,Cst6_Cst6<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,19.957,19.907,20.029,20.0,19.967,0.0003751406777541,0.083,0.0,0.221,8.0,1473.0,Cst6_Cst6<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,19.988,19.962,19.963,20.027,20.019
H13,H13<tm1b(KOMP)Wtsi>,heterozygote,WTSI,0.008827238335435,0.128,0.0,0.341,4.0,904.0,H13_H13<tm1b(KOMP)Wtsi>_heterozygote_WTSI,19.782,19.853,19.761,19.899,20.149,,,,,,,,,,,,,0.0097185409567083,0.125,0.0,0.327,4.0,451.0,H13_H13<tm1b(KOMP)Wtsi>_heterozygote_WTSI_female,19.938,19.98,19.932,19.962,20.008
Arpc1b,Arpc1b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0.0103561505430664,0.124,0.0,0.332,4.0,904.0,Arpc1b_Arpc1b<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,19.931,20.021,20.03,20.022,20.015,,,,,,,,,,,,,,,,,,,,,,,,
Arap3,Arap3<em1(IMPC)J>,homozygote,JAX,0.0011262670504317,0.084,0.0,0.227,8.0,2541.0,Arap3_Arap3<em1(IMPC)J>_homozygote_JAX,20.072,20.068,19.933,19.981,19.931,0.0084457330139921,0.124,0.0,0.334,4.0,1264.0,Arap3_Arap3<em1(IMPC)J>_homozygote_JAX_male,20.003,20.042,20.018,20.009,19.947,0.0085728693898134,0.125,0.0,0.331,4.0,1277.0,Arap3_Arap3<em1(IMPC)J>_homozygote_JAX_female,19.953,20.019,19.992,19.984,19.997
Spa17,Spa17<em1(IMPC)J>,homozygote,JAX,0.0007505629221916,0.089,0.0,0.242,8.0,2541.0,Spa17_Spa17<em1(IMPC)J>_homozygote_JAX,19.605,19.646,19.727,19.898,19.912,0.0149708195889368,0.139,0.0,0.372,4.0,1264.0,Spa17_Spa17<em1(IMPC)J>_homozygote_JAX_male,19.385,19.49,19.686,19.799,19.914,0.008827238335435,0.126,0.0,0.335,4.0,1277.0,Spa17_Spa17<em1(IMPC)J>_homozygote_JAX_female,19.974,20.003,20.031,20.029,20.019
Pla2g2d,Pla2g2d<tm1.1(KOMP)Vlcg>,homozygote,JAX,0.0007505629221916,0.083,0.0,0.224,8.0,2541.0,Pla2g2d_Pla2g2d<tm1.1(KOMP)Vlcg>_homozygote_JAX,20.005,19.993,19.904,20.01,19.984,0.0079375078745117,0.125,0.0,0.324,4.0,1264.0,Pla2g2d_Pla2g2d<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,19.994,19.986,19.985,20.025,19.955,0.0062893081761006,0.124,0.0,0.333,4.0,1277.0,Pla2g2d_Pla2g2d<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,20.048,19.927,20.017,20.106,19.998
Scart2,Scart2<tm1b(KOMP)Wtsi>,homozygote,UC Davis,0.0658140154543032,0.251,0.018,0.514,4.0,569.0,Scart2_Scart2<tm1b(KOMP)Wtsi>_homozygote_UC Davis,16.52,18.176,19.918,18.312,24.641,,,,,,,,,,,,,,,,,,,,,,,,
Dnaaf1,Dnaaf1<em1(IMPC)J>,heterozygote,JAX,0.001001001001001,0.083,0.0,0.221,8.0,2541.0,Dnaaf1_Dnaaf1<em1(IMPC)J>_heterozygote_JAX,19.989,19.998,19.957,19.981,20.022,0.0078105316200554,0.125,0.0,0.329,4.0,1264.0,Dnaaf1_Dnaaf1<em1(IMPC)J>_heterozygote_JAX_male,19.979,20.063,19.985,20.012,19.986,0.0092090324208401,0.127,0.0,0.339,4.0,1277.0,Dnaaf1_Dnaaf1<em1(IMPC)J>_heterozygote_JAX_female,20.016,20.074,20.015,19.974,19.985
Sla2,Sla2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0498687664041994,0.274,0.055,0.503,11.0,2953.0,Sla2_Sla2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,10.492,6.081,17.843,28.429,23.548,0.0259040779687099,0.207,0.015,0.441,6.0,1480.0,Sla2_Sla2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,17.158,11.393,23.522,24.997,21.879,0.0558268443975188,0.238,0.014,0.495,5.0,1473.0,Sla2_Sla2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,14.808,12.359,16.339,25.01,21.104
Arhgap30,Arhgap30<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0.0174233753020475,0.142,0.0,0.375,3.0,904.0,Arhgap30_Arhgap30<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,19.993,20.008,19.945,19.978,19.944,0.016260162601626,0.142,0.0,0.369,3.0,453.0,Arhgap30_Arhgap30<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,20.079,20.049,19.973,20.009,20.01,,,,,,,,,,,,
